imageName longitude latitude altitude Omega Phi Kappa
frame1467.jpg 8.68131697 47.44999470 584.37541791 -6.33864952 -2.17989867 138.15492340
frame1481.jpg 8.68131117 47.44999017 584.46025745 -7.09363931 -1.87294002 137.85511825
frame1495.jpg 8.68130431 47.44998585 584.81970039 -6.41438524 0.34511410 135.99731083
frame1509.jpg 8.68129804 47.44998188 585.01503118 -8.37143556 6.60396180 130.59038407
frame1523.jpg 8.68129647 47.44997993 585.15194285 -9.96411731 5.14277067 77.67864291
frame1537.jpg 8.68129923 47.44997917 585.24335800 -18.66128429 4.76048712 41.88305938
frame1551.jpg 8.68130275 47.44998316 584.93719319 -13.40977484 -1.72443858 47.02089695
frame1565.jpg 8.68130134 47.44999072 584.40462213 -9.02894575 -3.39239408 47.60387252
frame1579.jpg 8.68129508 47.44999851 583.95322866 -9.42939678 -0.06355877 46.16569753
frame1597.jpg 8.68128399 47.45000756 583.39662916 -7.45721084 -0.44763654 47.22149764
frame1611.jpg 8.68127378 47.45001281 583.17391901 -8.81410659 1.00155050 46.87203022
frame1625.jpg 8.68126370 47.45001737 583.25262064 -9.58598813 3.14255730 45.97516225
frame1639.jpg 8.68125537 47.45002184 583.62714689 -10.65110947 2.42360174 45.99816016
frame1653.jpg 8.68124818 47.45002635 583.96591026 -8.49037254 3.53412935 46.53926489
frame1669.jpg 8.68124336 47.45002931 584.17605341 -5.69894032 7.20952297 19.10022123
frame1683.jpg 8.68124481 47.45002967 584.23496136 -4.43510152 2.74439463 -41.04280941
frame1697.jpg 8.68124972 47.45002643 584.22951247 -13.91626298 7.84860764 -45.90382488
frame1711.jpg 8.68125945 47.45002564 584.23632551 -9.75021349 2.91273026 -42.51165183
frame1725.jpg 8.68126903 47.45002709 584.32513006 -11.89874515 3.18010689 -43.39667951
frame1739.jpg 8.68127776 47.45003117 584.39332996 -10.81875359 2.51497673 -43.46103082
frame1753.jpg 8.68128531 47.45003741 584.48223960 -8.80742652 2.27277353 -43.68499667
frame1767.jpg 8.68129137 47.45004448 584.50139121 -7.43800471 1.80620704 -44.65677319
frame1781.jpg 8.68129690 47.45005110 584.50157417 -7.56773275 1.28156988 -42.80378036
frame1795.jpg 8.68130236 47.45005733 584.53242998 -7.01234220 1.10552295 -42.36365180
frame1809.jpg 8.68130751 47.45006274 584.48670611 -7.99634586 2.35848216 -43.22171044
frame1823.jpg 8.68131251 47.45006718 584.38641906 -8.20928112 2.34759123 -42.86670563
frame1837.jpg 8.68131679 47.45007105 584.29820443 -8.47836779 4.36396124 -44.00272407
frame1851.jpg 8.68132134 47.45007499 584.25003956 -8.14327350 3.74461484 -43.75562335
frame1865.jpg 8.68132669 47.45007887 584.22253705 -9.57930956 3.39644504 -42.81493403
frame1879.jpg 8.68133291 47.45008331 584.22332194 -8.44015649 2.97222130 -43.24120894
frame1893.jpg 8.68133958 47.45008803 584.18556494 -8.78637664 2.20434375 -43.55681320
frame1907.jpg 8.68134640 47.45009282 584.13790197 -8.23846328 1.39438892 -42.94739295
frame1921.jpg 8.68135251 47.45009734 584.09527304 -10.11501184 2.99085224 -43.52936428
frame1935.jpg 8.68135866 47.45010143 584.02742903 -11.09115956 1.14846253 -42.51981217
frame1949.jpg 8.68136415 47.45010592 583.94154167 -10.22707263 3.34358971 -43.32510719
frame1963.jpg 8.68136967 47.45011070 583.85075394 -9.70187123 3.51560722 -42.81141213
frame1977.jpg 8.68137598 47.45011535 583.81529783 -9.99237101 2.02579576 -43.12821382
frame1991.jpg 8.68138227 47.45012015 583.82890603 -10.29353204 2.19244089 -43.06295477
